"agerev_id","agerev_lib","agerevq_id","agerevq_lib"
"0","Moins de 1 an","0","0 ? 4 ans"
"0X","Age r?volu d?taill? inconnu","0","0 ? 4 ans"
"1","1 an","0","0 ? 4 ans"
"10","10 ans","10","10 ? 14 ans"
"100","100 ans","100","100 ? 104 ans"
"100X","Age r?volu d?taill? inconnu","100","100 ? 104 ans"
"101","101 ans","100","100 ? 104 ans"
"102","102 ans","100","100 ? 104 ans"
"103","103 ans","100","100 ? 104 ans"
"104","104 ans","100","100 ? 104 ans"
"105","105 ans","105","105 ? 109 ans"
"105X","Age r?volu d?taill? inconnu","105","105 ? 109 ans"
"106","106 ans","105","105 ? 109 ans"
"107","107 ans","105","105 ? 109 ans"
"108","108 ans","105","105 ? 109 ans"
"109","109 ans","105","105 ? 109 ans"
"10X","Age r?volu d?taill? inconnu","10","10 ? 14 ans"
"11","11 ans","10","10 ? 14 ans"
"110","110 ans","110","110 ? 114 ans"
"110X","Age r?volu d?taill? inconnu","110","110 ? 114 ans"
"111","111 ans","110","110 ? 114 ans"
"112","112 ans","110","110 ? 114 ans"
"113","113 ans","110","110 ? 114 ans"
"114","114 ans","110","110 ? 114 ans"
"115","115 ans","115","115 ? 119 ans"
"115X","Age r?volu d?taill? inconnu","115","115 ? 119 ans"
"116","116 ans","115","115 ? 119 ans"
"117","117 ans","115","115 ? 119 ans"
"118","118 ans","115","115 ? 119 ans"
"119","119 ans","115","115 ? 119 ans"
"12","12 ans","10","10 ? 14 ans"
"120","120 ans","120","120 ans"
"120X","Age r?volu d?taill? inconnu","120","120 ans"
"13","13 ans","10","10 ? 14 ans"
"14","14 ans","10","10 ? 14 ans"
"15","15 ans","15","15 ? 19 ans"
"15X","Age r?volu d?taill? inconnu","15","15 ? 19 ans"
"16","16 ans","15","15 ? 19 ans"
"17","17 ans","15","15 ? 19 ans"
"18","18 ans","15","15 ? 19 ans"
"19","19 ans","15","15 ? 19 ans"
"2","2 ans","0","0 ? 4 ans"
"20","20 ans","20","20 ? 24 ans"
"20X","Age r?volu d?taill? inconnu","20","20 ? 24 ans"
"21","21 ans","20","20 ? 24 ans"
"22","22 ans","20","20 ? 24 ans"
"23","23 ans","20","20 ? 24 ans"
"24","24 ans","20","20 ? 24 ans"
"25","25 ans","25","25 ? 29 ans"
"25X","Age r?volu d?taill? inconnu","25","25 ? 29 ans"
"26","26 ans","25","25 ? 29 ans"
"27","27 ans","25","25 ? 29 ans"
"28","28 ans","25","25 ? 29 ans"
"29","29 ans","25","25 ? 29 ans"
"3","3 ans","0","0 ? 4 ans"
"30","30 ans","30","30 ? 34 ans"
"30X","Age r?volu d?taill? inconnu","30","30 ? 34 ans"
"31","31 ans","30","30 ? 34 ans"
"32","32 ans","30","30 ? 34 ans"
"33","33 ans","30","30 ? 34 ans"
"34","34 ans","30","30 ? 34 ans"
"35","35 ans","35","35 ? 39 ans"
