"annee","annee_libelle","annee_regroupee","annee_regroupee_libelle"
"0000","Logement ordinaire inoccup?","0","Logement ordinaire inoccup?"
"1886","Ann?e  1886","1","Emm?nagement entre 1886 et 1899"
"1887","Ann?e  1887","1","Emm?nagement entre 1886 et 1899"
"1888","Ann?e  1888","1","Emm?nagement entre 1886 et 1899"
"1889","Ann?e  1889","1","Emm?nagement entre 1886 et 1899"
"1890","Ann?e  1890","1","Emm?nagement entre 1886 et 1899"
"1891","Ann?e  1891","1","Emm?nagement entre 1886 et 1899"
"1892","Ann?e  1892","1","Emm?nagement entre 1886 et 1899"
"1893","Ann?e  1893","1","Emm?nagement entre 1886 et 1899"
"1894","Ann?e  1894","1","Emm?nagement entre 1886 et 1899"
"1895","Ann?e  1895","1","Emm?nagement entre 1886 et 1899"
"1896","Ann?e  1896","1","Emm?nagement entre 1886 et 1899"
"1897","Ann?e  1897","1","Emm?nagement entre 1886 et 1899"
"1898","Ann?e  1898","1","Emm?nagement entre 1886 et 1899"
"1899","Ann?e  1899","1","Emm?nagement entre 1886 et 1899"
"1900","Ann?e  1900","2","Emm?nagement entre 1900 et 1919"
"1901","Ann?e  1901","2","Emm?nagement entre 1900 et 1919"
"1902","Ann?e  1902","2","Emm?nagement entre 1900 et 1919"
"1903","Ann?e  1903","2","Emm?nagement entre 1900 et 1919"
"1904","Ann?e  1904","2","Emm?nagement entre 1900 et 1919"
"1905","Ann?e  1905","2","Emm?nagement entre 1900 et 1919"
"1906","Ann?e  1906","2","Emm?nagement entre 1900 et 1919"
"1907","Ann?e  1907","2","Emm?nagement entre 1900 et 1919"
"1908","Ann?e  1908","2","Emm?nagement entre 1900 et 1919"
"1909","Ann?e  1909","2","Emm?nagement entre 1900 et 1919"
"1910","Ann?e  1910","2","Emm?nagement entre 1900 et 1919"
"1911","Ann?e  1911","2","Emm?nagement entre 1900 et 1919"
"1912","Ann?e  1912","2","Emm?nagement entre 1900 et 1919"
"1913","Ann?e  1913","2","Emm?nagement entre 1900 et 1919"
"1914","Ann?e  1914","2","Emm?nagement entre 1900 et 1919"
"1915","Ann?e  1915","2","Emm?nagement entre 1900 et 1919"
"1916","Ann?e  1916","2","Emm?nagement entre 1900 et 1919"
"1917","Ann?e  1917","2","Emm?nagement entre 1900 et 1919"
"1918","Ann?e  1918","2","Emm?nagement entre 1900 et 1919"
"1919","Ann?e  1919","2","Emm?nagement entre 1900 et 1919"
"1920","Ann?e  1920","3","Emm?nagement entre 1920 et 1939"
"1921","Ann?e  1921","3","Emm?nagement entre 1920 et 1939"
"1922","Ann?e  1922","3","Emm?nagement entre 1920 et 1939"
"1923","Ann?e  1923","3","Emm?nagement entre 1920 et 1939"
"1924","Ann?e  1924","3","Emm?nagement entre 1920 et 1939"
