"agerevq_id","agerevq_lib"
"0","0 ? 4 ans"
"10","10 ? 14 ans"
"100","100 ? 104 ans"
"105","105 ? 109 ans"
"110","110 ? 114 ans"
"115","115 ? 119 ans"
"120","120 ans"
"15","15 ? 19 ans"
"20","20 ? 24 ans"
"25","25 ? 29 ans"
"30","30 ? 34 ans"
"35","35 ? 39 ans"
"40","40 ? 44 ans"
"45","45 ? 49 ans"
"5","5 ? 9 ans"
"50","50 ? 54 ans"
"55","55 ? 59 ans"
"60","60 ? 64 ans"
"65","65 ? 69 ans"
"70","70 ? 74 ans"
"75","75 ? 79 ans"
"80","80 ? 84 ans"
"85","85 ? 89 ans"
"90","90 ? 94 ans"
"95","95 ? 99 ans"
