"agerev10_id","agerev10_lib","dipl_id","dipl_lib","cneetud_is_cneres","c1","c2","c3","c6","c4","c5","cpt_ind","type_equi","type_etab"
"02","2 ans","ZZ","Sans objet","N","Y","N","N","N","N","N","19","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","N","N","N","N","8","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","N","Y","N","N","1","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","Y","N","N","N","1","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","Y","Y","N","N","1","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","N","3","",""
"02","2 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","Y","4","",""
"02","2 ans","ZZ","Sans objet","Y","Y","N","N","N","N","N","45","",""
"02","2 ans","ZZ","Sans objet","Y","Y","N","Y","N","N","N","1","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","N","N","N","N","12","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","Y","N","N","N","2","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","Y","N","Y","N","15","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","N","N","1","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","N","9","",""
"02","2 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","Y","41","",""
"03","3 ans","ZZ","Sans objet","N","N","N","N","N","N","N","1","",""
"03","3 ans","ZZ","Sans objet","N","Y","N","N","N","N","N","147","",""
"03","3 ans","ZZ","Sans objet","N","Y","N","Y","N","N","N","1","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","N","N","N","N","30","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","N","Y","N","N","1","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","Y","N","N","N","2","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","Y","N","Y","N","5","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","Y","Y","N","N","5","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","N","6","",""
"03","3 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","Y","15","",""
"03","3 ans","ZZ","Sans objet","Y","N","N","N","N","N","N","2","",""
"03","3 ans","ZZ","Sans objet","Y","Y","N","N","N","N","N","336","",""
"03","3 ans","ZZ","Sans objet","Y","Y","N","N","Y","N","N","11","",""
"03","3 ans","ZZ","Sans objet","Y","Y","N","Y","N","N","N","8","",""
"03","3 ans","ZZ","Sans objet","Y","Y","N","Y","Y","N","N","1","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","N","N","N","N","133","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","Y","N","N","N","6","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","Y","N","Y","N","70","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","N","N","6","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","N","60","",""
"03","3 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","Y","182","",""
"04","4 ans","ZZ","Sans objet","N","Y","N","N","N","N","N","139","",""
"04","4 ans","ZZ","Sans objet","N","Y","N","N","Y","N","N","2","",""
"04","4 ans","ZZ","Sans objet","N","Y","N","Y","N","N","N","3","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","N","N","N","N","53","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","Y","N","N","N","2","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","Y","N","Y","N","6","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","Y","Y","N","N","7","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","N","11","",""
"04","4 ans","ZZ","Sans objet","N","Y","Y","Y","Y","Y","Y","19","",""
"04","4 ans","ZZ","Sans objet","Y","N","N","N","N","N","N","4","",""
"04","4 ans","ZZ","Sans objet","Y","Y","N","N","N","N","N","327","",""
"04","4 ans","ZZ","Sans objet","Y","Y","N","N","Y","N","N","9","",""
"04","4 ans","ZZ","Sans objet","Y","Y","N","Y","N","N","N","7","",""
"04","4 ans","ZZ","Sans objet","Y","Y","N","Y","Y","N","N","2","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","N","N","N","N","127","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","Y","N","N","N","4","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","Y","N","Y","N","79","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","N","N","3","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","N","61","",""
"04","4 ans","ZZ","Sans objet","Y","Y","Y","Y","Y","Y","Y","187","",""
"05","5 ans","ZZ","Sans objet","N","Y","N","N","N","N","N","134","",""
"05","5 ans","ZZ","Sans objet","N","Y","N","N","Y","N","N","1","",""
