"code_commune","nom_commune","code_departement","climato_id_classe"
"2B112","FELICETO","2B",""
"2A094","CORRANO","2A",""
"2A024","AULLENE","2A",""
"2A031","BASTELICA","2A",""
"2A345","VERO","2A",""
"2A203","PARTINELLO","2A",""
"2B042","BORGO","2B",""
"2B332","URTACA","2B",""
"2B037","BIGUGLIA","2B",""
"2A133","GUITERA-LES-BAINS","2A",""
"2A092","CONCA","2A",""
"2B314","SANTO-PIETRO-DI-TENDA","2B",""
"2A103","CUTTOLI-CORTICCHIATO","2A",""
"2A108","EVISA","2A",""
"2B224","PIETRACORBARA","2B",""
"2B002","AGHIONE","2B",""
"2B153","MANSO","2B",""
"2A018","ARBELLARA","2A",""
"2B307","SANTA-LUCIA-DI-MORIANI","2B",""
"2A282","SOCCIA","2A",""
"80477","LIGESCOURT","80","5"
"2B201","PANCHERACCIA","2B",""
"2A323","TAVACO","2A",""
"2B290","SPELONCATO","2B",""
"2B365","SAN-GAVINO-DI-FIUMORBO","2B",""
"2A259","REZZA","2A",""
"2B347","VEZZANI","2B",""
"2A035","BELVEDERE-CAMPOMORO","2A",""
"2A008","ALBITRECCIA","2A",""
"2B235","PIOGGIOLA","2B",""
"2B366","CHISA","2B",""
"2B283","SOLARO","2B",""
"2B315","SANTO-PIETRO-DI-VENACO","2B",""
"2B059","CANAVAGGIA","2B",""
"2B140","LENTO","2B",""
"2B302","SAN-GIOVANNI-DI-MORIANI","2B",""
"2A118","FOZZANO","2A",""
"2B188","OLMETA-DI-TUDA","2B",""
"2A351","VILLANOVA","2A",""
"27686","VIEUX-PORT","27","5"
"2A144","LOPIGNA","2A",""
"80143","BROCOURT","80","3"
"2A119","FRASSETO","2A",""
"2B265","RUTALI","2B",""
"2A295","SANT'ANDREA-D'ORCINO","2A",""
"2A017","APPIETTO","2A",""
"2A228","PIETROSELLA","2A",""
"2B122","GAVIGNANO","2B",""
"2A048","CALCATOGGIO","2A",""
"2B346","VESCOVATO","2B",""
"2B334","VALLE-D'ALESANI","2B",""
"2B058","CANARI","2B",""
"2A212","PIANA","2A",""
"2A322","TASSO","2A",""
"2A114","FIGARI","2A",""
"2B093","CORBARA","2B",""
"2A271","SARROLA-CARCOPINO","2A",""
"2B199","PALASCA","2B",""
"2A312","SANTA-MARIA-SICHE","2A",""
"2B185","OLETTA","2B",""
"2B177","NOCETA","2B",""
"2B301","SAN-GAVINO-DI-TENDA","2B",""
"2B020","AREGNO","2B",""
"2A326","TOLLA","2A",""
"2B238","POGGIO-DI-VENACO","2B",""
"2A071","CASALABRIVA","2A",""
"2B143","LINGUIZZETTA","2B",""
"2A331","URBALACONE","2A",""
"2B178","NONZA","2B",""
"2B156","MAUSOLEO","2B",""
"2A232","PILA-CANALE","2A",""
"62372","GIVENCHY-LE-NOBLE","62","3"
"2A272","SARTENE","2A",""
"2A032","BASTELICACCIA","2A",""
"2A269","SARI-SOLENZARA","2A",""
"2B033","BASTIA","2B",""
"76679","SOMMESNIL","76","5"
"2A100","CRISTINACCE","2A",""
"76680","SORQUAINVILLE","76","5"
"2B150","LUMIO","2B",""
"2B034","BELGODERE","2B",""
"2A330","UCCIANI","2A",""
"2A262","ROSAZIA","2A",""
"2B223","PIETRALBA","2B",""
"01428","VALEINS","01","3"
"2A181","OCANA","2A",""
"2B298","SAINT-FLORENT","2B",""
"2A117","FORCIOLO","2A",""
"2A014","AMBIEGNA","2A",""
"2A279","SERRIERA","2A",""
"2A249","PROPRIANO","2A",""
"2A104","ECCICA-SUARELLA","2A",""
"2B229","PIETROSO","2B",""
"2A211","PETRETO-BICCHISANO","2A",""
"2A357","ZERUBIA","2A",""
"2B171","MURACCIOLE","2B",""
"2A089","CIAMANNACCE","2A",""
"2B337","VALLE-DI-ROSTINO","2B",""
"2B286","SORBO-OCAGNANO","2B",""
"2B105","ERBAJOLO","2B",""
"2B083","CASTIRLA","2B",""
"2A288","SOTTA","2A",""
"2A099","COZZANO","2A",""
"2B343","VENZOLASCA","2B",""
"2B074","CASANOVA","2B",""
"2B180","NOVELLA","2B",""
"2A142","LEVIE","2A",""
"2A011","ALTAGENE","2A",""
"2A276","SERRA-DI-FERRO","2A",""
"2A065","CARGESE","2A",""
"2B236","POGGIO-DI-NAZZA","2B",""
"2B124","GHISONI","2B",""
"2A324","TAVERA","2A",""
"2B049","CALENZANA","2B",""
"2A310","SANTA-MARIA-FIGANIELLA","2A",""
"2A285","SORBOLLANO","2A",""
"35007","AUBIGNE","35","4"
"2A090","COGGIA","2A",""
"2A186","OLIVESE","2A",""
"2B233","PINO","2B",""
"2A174","MURZO","2A",""
"2A253","QUASQUARA","2A",""
"2A300","SAN-GAVINO-DI-CARBINI","2A",""
"2B080","CASTIFAO","2B",""
"2B073","CASAMACCIOLI","2B",""
"2B273","SCATA","2B",""
"2B319","TALASANI","2B",""
"57637","SCHNECKENBUSCH","57","2"
"2A061","CARBINI","2A",""
"2B218","PIEDICORTE-DI-GAGGIO","2B",""
"2B361","ZILIA","2B",""
"2B053","CAMPI","2B",""
"2B169","MOROSAGLIA","2B",""
"2B046","CAGNANO","2B",""
"2B309","SANTA-MARIA-DI-LOTA","2B",""
"2B207","PENTA-DI-CASINCA","2B",""
"2B352","VILLE-DI-PARASO","2B",""
"2A146","LORETO-DI-TALLANO","2A",""
"2A129","GROSSA","2A",""
"2B121","GALERIA","2B",""
"2B234","PIOBETTA","2B",""
"25086","BRAILLANS","25","1"
"2B230","PIEVE","2B",""
"2A091","COGNOCOLI-MONTICCHI","2A",""
"2B354","VIVARIO","2B",""
"2A163","MONACIA-D'AULLENE","2A",""
"2B025","AVAPESSA","2B",""
"2B292","SANT'ANDREA-DI-BOZIO","2B",""
"2B012","ALTIANI","2B",""
"70567","VILLERS-SUR-SAULNOT","70","1"
"59454","OXELAERE","59","4"
"2A348","VICO","2A",""
"2A196","ORTO","2A",""
"2B329","TRALONCA","2B",""
"2A254","QUENZA","2A",""
"2B304","SAN-LORENZO","2B",""
"2A006","ALATA","2A",""
"2A131","GUAGNO","2A",""
"2A062","CARBUCCIA","2A",""
"2A056","CAMPO","2A",""
"2B107","ERSA","2B",""
"67450","SCHIRRHOFFEN","67","2"
"2B135","ISOLACCIO-DI-FIUMORBO","2B",""
"2B116","FOCICCHIA","2B",""
"2B095","CORSCIA","2B",""
"2B205","PATRIMONIO","2B",""
"2B147","LOZZI","2B",""
"33103","CASTELMORON-D'ALBRET","33","4"
"2A019","ARBORI","2A",""
"2B170","MORSIGLIA","2B",""
"2A026","AZILONE-AMPAZA","2A",""
"2B217","PIAZZOLE","2B",""
"71324","MOROGES","71","3"
"2B333","VALLECALLE","2B",""
"2B075","CASEVECCHIE","2B",""
"2B293","SANT'ANDREA-DI-COTONE","2B",""
"2B297","SAN-DAMIANO","2B",""
"2B013","ALZI","2B",""
"2A278","SERRA-DI-SCOPAMENE","2A",""
"14237","EMIEVILLE","14","4"
"2B036","BIGORNO","2B",""
"22262","QUINTIN","22","5"
"04142","OPPEDETTE","04","6"
"2B088","CHIATRA","2B",""
"2B242","POGGIO-MEZZANA","2B",""
"2B221","PIEDIPARTINO","2B",""
"2B317","SANTA-REPARATA-DI-MORIANI","2B",""
"2B164","MONACIA-D'OREZZA","2B",""
"2B067","CARPINETO","2B",""
"2B252","PRUNO","2B",""
"2A197","OSANI","2A",""
"2B125","GIOCATOJO","2B",""
"2A268","SAMPOLO","2A",""
"11374","SALZA","11","4"
"2B193","OMESSA","2B",""
"39226","FLORENTIA","39","1"
"2B050","CALVI","2B",""
"2A360","ZIGLIARA","2A",""
"2B167","MONTEGROSSO","2B",""
"2B342","VENTISERI","2B",""
"2A022","ARRO","2A",""
"2B182","OCCHIATANA","2B",""
"60196","LE DELUGE","60","3"
"2B277","SERRA-DI-FIUMORBO","2B",""
"2B097","COSTA","2B",""
"2B340","VELONE-ORNETO","2B",""
"2A004","AJACCIO","2A",""
"2B081","CASTIGLIONE","2B",""
"2B145","LORETO-DI-CASINCA","2B",""
"2B110","FAVALELLO","2B",""
