"gid","id_geofla","code_comm","insee_com","nom_comm","statut","x_chf_lieu","y_chf_lieu","x_centroid","y_centroid","z_moyen","superficie","population","code_cant","code_arr","code_dept","nom_dept","code_reg","nom_region"
"1","1","101","97101","LES ABYMES","Chef-lieu canton","6597","17994","6601","17996","25","7002","58.5","93","2","97","GUADELOUPE","01","GUADELOUPE"
"2","2","102","97102","ANSE-BERTRAND","Chef-lieu canton","6591","18217","6642","18210","32","6408","4.8","03","2","97","GUADELOUPE","01","GUADELOUPE"
"3","3","103","97103","BAIE-MAHAULT","Chef-lieu canton","6510","17990","6503","17972","18","4654","30.3","04","1","97","GUADELOUPE","01","GUADELOUPE"
"4","4","104","97104","BAILLIF","Commune simple","6340","17716","6370","17743","442","2422","5.2","36","1","97","GUADELOUPE","01","GUADELOUPE"
"5","5","105","97105","BASSE-TERRE","Pr?fecture de r?gion","6356","17690","6360","17694","57","443","11.9","94","1","97","GUADELOUPE","01","GUADELOUPE"
"6","6","106","97106","BOUILLANTE","Chef-lieu canton","6315","17839","6332","17852","330","4342","7.5","07","1","97","GUADELOUPE","01","GUADELOUPE"
"7","7","107","97107","CAPESTERRE-BELLE-EAU","Chef-lieu canton","6535","17741","6485","17755","367","10289","19.3","90","1","97","GUADELOUPE","01","GUADELOUPE"
"8","8","108","97108","CAPESTERRE-DE-MARIE-GALANTE","Chef-lieu canton","6904","17578","6894","17608","119","4621","3.4","09","2","97","GUADELOUPE","01","GUADELOUPE"
"9","9","109","97109","GOURBEYRE","Chef-lieu canton","6398","17687","6405","17687","378","2275","7.9","42","1","97","GUADELOUPE","01","GUADELOUPE"
"10","10","110","97110","LA DESIRADE","Chef-lieu canton","7056","18034","7085","18054","106","2156","1.6","10","2","97","GUADELOUPE","01","GUADELOUPE"
"11","11","111","97111","DESHAIES","Commune simple","6288","18032","6303","18029","229","3136","4.4","33","1","97","GUADELOUPE","01","GUADELOUPE"
"12","12","112","97112","GRAND-BOURG","Chef-lieu canton","6802","17567","6825","17592","70","5575","5.5","12","2","97","GUADELOUPE","01","GUADELOUPE"
"13","13","113","97113","LE GOSIER","Chef-lieu canton","6611","17922","6635","17944","46","4549","26.3","91","2","97","GUADELOUPE","01","GUADELOUPE"
"14","14","114","97114","GOYAVE","Chef-lieu canton","6527","17842","6482","17828","252","5995","8.1","43","1","97","GUADELOUPE","01","GUADELOUPE"
"28","28","130","97130","TERRE-DE-BAS","Chef-lieu canton","6452","17527","6462","17533","98","678","1.1","34","1","97","GUADELOUPE","01","GUADELOUPE"
"15","15","115","97115","LAMENTIN","Chef-lieu canton","6460","17994","6422","17961","136","6539","15.9","13","1","97","GUADELOUPE","01","GUADELOUPE"
"16","16","116","97116","MORNE-A-L'EAU","Chef-lieu canton","6648","18062","6634","18053","19","6842","16.7","95","2","97","GUADELOUPE","01","GUADELOUPE"
"17","17","117","97117","LE MOULE","Chef-lieu canton","6769","18062","6739","18050","33","8345","22.4","96","2","97","GUADELOUPE","01","GUADELOUPE"
"18","18","118","97118","PETIT-BOURG","Chef-lieu canton","6506","17906","6435","17883","288","13124","23.2","92","1","97","GUADELOUPE","01","GUADELOUPE"
"19","19","119","97119","PETIT-CANAL","Chef-lieu canton","6612","18114","6655","18126","29","7411","8","19","2","97","GUADELOUPE","01","GUADELOUPE"
"20","20","120","97120","POINTE-A-PITRE","Sous-pr?fecture","6567","17961","6564","17958","3","273","16.4","97","2","97","GUADELOUPE","01","GUADELOUPE"
"21","21","121","97121","POINTE-NOIRE","Chef-lieu canton","6292","17950","6321","17944","324","5950","7","24","1","97","GUADELOUPE","01","GUADELOUPE"
"22","22","122","97122","PORT-LOUIS","Commune simple","6566","18156","6605","18166","15","4438","5.4","03","2","97","GUADELOUPE","01","GUADELOUPE"
"23","23","124","97124","SAINT-CLAUDE","Chef-lieu canton","6392","17723","6401","17731","650","3432","10.5","26","1","97","GUADELOUPE","01","GUADELOUPE"
"24","24","125","97125","SAINT-FRANCOIS","Chef-lieu canton","6844","17975","6836","17999","31","6087","14.8","27","2","97","GUADELOUPE","01","GUADELOUPE"
"25","25","126","97126","SAINT-LOUIS","Chef-lieu canton","6798","17645","6845","17659","69","5751","2.7","28","2","97","GUADELOUPE","01","GUADELOUPE"
"26","26","128","97128","SAINTE-ANNE","Chef-lieu canton","6725","17945","6723","17980","50","8054","24.2","98","2","97","GUADELOUPE","01","GUADELOUPE"
"27","27","129","97129","SAINTE-ROSE","Chef-lieu canton","6390","18062","6377","18018","186","12359","20.2","99","1","97","GUADELOUPE","01","GUADELOUPE"
"29","29","131","97131","TERRE-DE-HAUT","Commune simple","6517","17547","6515","17545","49","589","1.8","34","1","97","GUADELOUPE","01","GUADELOUPE"
"30","30","132","97132","TROIS-RIVIERES","Chef-lieu canton","6450","17667","6446","17683","350","3120","8.8","35","1","97","GUADELOUPE","01","GUADELOUPE"
"31","31","133","97133","VIEUX-FORT","Commune simple","6393","17636","6397","17649","209","733","1.8","35","1","97","GUADELOUPE","01","GUADELOUPE"
"32","32","134","97134","VIEUX-HABITANTS","Chef-lieu canton","6321","17759","6362","17789","485","5953","7.7","36","1","97","GUADELOUPE","01","GUADELOUPE"
