"commune_id","commune_nom","commune_geom","commune_chf_lieu","commune_centroid","commune_superficie","commune_population","pays_id","pays_nom","pays_geom","pays_centroid","pays_superficie","pays_population","pays_capitale"
"AL100","BECKINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL101","LOSHEIM AM SEE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL102","MERZIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL103","METTLACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL104","PERL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL105","WADERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL106","WEISKIRCHEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL110","EPPELBORN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL111","ILLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL112","MERCHWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL113","NEUNKIRCHEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL114","OTTWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL115","SCHIFFWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL116","SPIESEN-ELVERSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL12A","UEBERHERRN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL12B","WADGASSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL12C","WALLERFANGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL120","BOUS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL121","DILLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL122","ENSDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL123","LEBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL124","NALBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL125","REHLINGEN-SIERSBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL126","SAARLOUIS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL127","SAARWELLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL128","SCHMELZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL129","SCHWALBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL130","BEXBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL131","BLIESKASTEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL132","GERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL133","HOMBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL134","KIRKEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL135","MANDELBACHTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL136","ST INGBERT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL140","FREISEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL141","MARPINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL142","NAMBORN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL143","NOHFELDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL144","NONNWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL145","OBERTHAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL146","ST WENDEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL147","THOLEY","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL150","FRIEDRICHSTHAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL151","GROSSROSSELN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL152","HEUSWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL153","KLEINBLITTERSDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL154","PUETTLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL155","QUIERSCHIED","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL156","RIEGELSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL157","SAARBRUECKEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL158","SULZBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL159","VOELKLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL199","SARRE SAI","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2A0","ZWEIBRUECKEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2B0","PIRMASENS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2C0","KAISERSLAUTERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2D0","LANDAU IN DER PFALZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2E0","NEUSTADT AN DER WEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2F0","LUDWIGSHAFEN AM RHEI","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2G0","SPEYER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2H0","FRANKENTHAL IN DER P","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2I0","TRIER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MA","PIESPORT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MB","THALFANG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MC","OSANN-MONZEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MD","ENKIRCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ME","ALTRICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MF","MARING-NOVIAND","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MG","MALBORN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MH","DREIS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MI","BAUSENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MJ","KLAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MK","MANDERSCHEID (WIL)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ML","MONZELFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MM","LIESER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MN","LONGKAMP","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MO","BRAUNEBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MP","REIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MQ","TRITTENHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MR","BINSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MS","KINDERBEUERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MT","GROSSLITTGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MU","BENGEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MV","MULHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MW","WINTRICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MX","VELDENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MY","URZIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MZ","PLATTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M0","WITTLICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M1","MORBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M2","BERNKASTEL-KUES","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M3","TRABEN-TRARBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M4","SALMTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M5","NEUMAGEN-DHRON","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M6","KROV","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M7","ZELTINGEN-RACHTIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M8","LANDSCHEID","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M9","HETZERATH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NA","STIPSHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NB","FISCHBACH (BIR)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NC","MORSCHIED","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ND","HERRSTEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NE","RUSCHBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
