"gid","id_geofla","code_comm","insee_com","nom_comm","statut","x_chf_lieu","y_chf_lieu","x_centroid","y_centroid","z_moyen","superficie","population","code_cant","code_arr","code_dept","nom_dept","code_reg","nom_region"
"1","1","301","97301","REGINA","Chef-lieu canton","3746","4768","3312","4357","88","1156376","0.9","01","1","97","GUYANE","03","GUYANE"
"2","2","302","97302","CAYENNE","Pr?fecture de r?gion","3519","5460","3541","5445","8","3077","55.8","99","1","97","GUYANE","03","GUYANE"
"3","3","303","97303","IRACOUBO","Chef-lieu canton","2556","6061","2427","5833","47","256303","2","06","1","97","GUYANE","03","GUYANE"
"4","4","304","97304","KOUROU","Chef-lieu canton","3179","5703","3041","5455","35","228512","25.2","07","1","97","GUYANE","03","GUYANE"
"5","5","305","97305","MACOURIA","Chef-lieu canton","3366","5543","3327","5509","11","30857","9.6","08","1","97","GUYANE","03","GUYANE"
"6","6","306","97306","MANA","Chef-lieu canton","1923","6271","2063","5513","71","670840","9","09","2","97","GUYANE","03","GUYANE"
"7","7","307","97307","MATOURY","Chef-lieu canton","3523","5363","3510","5342","9","14895","28.1","19","1","97","GUYANE","03","GUYANE"
"8","8","308","97308","SAINT-GEORGES","Chef-lieu canton","4110","4299","3742","4136","83","282755","4","12","1","97","GUYANE","03","GUYANE"
"9","9","309","97309","REMIRE-MONTJOLY","Chef-lieu canton","3584","5423","3581","5400","27","5114","19.3","10","1","97","GUYANE","03","GUYANE"
"10","10","310","97310","ROURA","Chef-lieu canton","3531","5227","3321","4936","55","369410","2.6","11","1","97","GUYANE","03","GUYANE"
"11","11","311","97311","SAINT-LAURENT-DU-MARONI","Sous-pr?fecture","1643","6092","1691","5495","96","415096","38.4","13","2","97","GUYANE","03","GUYANE"
"12","12","312","97312","SINNAMARY","Chef-lieu canton","2829","5947","2768","5786","37","129384","3.2","14","1","97","GUYANE","03","GUYANE"
"13","13","313","97313","MONTSINERY-TONNEGRANDE","Chef-lieu canton","3344","5409","3325","5317","24","62626","2.2","15","1","97","GUYANE","03","GUYANE"
"14","14","314","97314","OUANARY","Commune simple","4254","4652","4053","4557","22","103894","0.1","12","1","97","GUYANE","03","GUYANE"
"21","21","361","97361","AWALA-YALIMAPO","Commune simple","1778","6348","1769","6290","2","20557","1.3","09","2","97","GUYANE","03","GUYANE"
"15","15","352","97352","SAUL","Commune simple","2545","4007","2335","4332","149","445613","0.2","16","2","97","GUYANE","03","GUYANE"
"16","16","353","97353","MARIPASOULA","Chef-lieu canton","1635","4030","1933","3287","189","1871833","8.5","16","2","97","GUYANE","03","GUYANE"
"22","22","362","97362","PAPAICHTON","Commune simple","1502","4215","1619","4473","153","258159","4.8","16","2","97","GUYANE","03","GUYANE"
"17","17","356","97356","CAMOPI","Commune simple","3518","3501","3002","3138","186","1040487","1.6","12","1","97","GUYANE","03","GUYANE"
"18","18","357","97357","GRAND-SANTI","Commune simple","1244","4732","1479","4853","120","223310","5.1","16","2","97","GUYANE","03","GUYANE"
"19","19","358","97358","SAINT-ELIE","Commune simple","2462","5338","2669","5009","111","577836","0.6","14","1","97","GUYANE","03","GUYANE"
"20","20","360","97360","APATOU","Commune simple","1292","5709","1371","5347","110","215414","6.7","16","2","97","GUYANE","03","GUYANE"
