"commune_id","commune_nom"
"01001","Commune inconnu"
"01053","Commune inconnu"
"01093","Commune inconnu"
"01159","Commune inconnu"
"01165","Commune inconnu"
"01194","Commune inconnu"
"01283","Commune inconnu"
"01306","Commune inconnu"
"01321","Commune inconnu"
"01348","Commune inconnu"
"01351","Commune inconnu"
"01405","Commune inconnu"
"01420","Commune inconnu"
"01424","Commune inconnu"
"01427","Commune inconnu"
"01443","Commune inconnu"
"01451","Commune inconnu"
"21231","Commune inconnu"
"69005","Commune inconnu"
"69013","Commune inconnu"
"69065","Commune inconnu"
"69092","Commune inconnu"
"69108","Commune inconnu"
"69143","Commune inconnu"
"69264","Commune inconnu"
"69382","Commune inconnu"
"69383","Commune inconnu"
"69387","Commune inconnu"
"71270","Commune inconnu"
"01002","Commune inconnu"
"01004","Commune inconnu"
"01007","Commune inconnu"
"01089","Commune inconnu"
"01185","Commune inconnu"
"01199","Commune inconnu"
"01202","Commune inconnu"
"01254","Commune inconnu"
"01265","Commune inconnu"
"01303","Commune inconnu"
"01307","Commune inconnu"
"01345","Commune inconnu"
"01390","Commune inconnu"
"01450","Commune inconnu"
"69029","Commune inconnu"
"69040","Commune inconnu"
"69199","Commune inconnu"
"69282","Commune inconnu"
"01008","Commune inconnu"
"01014","Commune inconnu"
"01021","Commune inconnu"
"01022","Commune inconnu"
"01027","Commune inconnu"
"01031","Commune inconnu"
"01032","Commune inconnu"
"01033","Commune inconnu"
"01034","Commune inconnu"
"01041","Commune inconnu"
"01043","Commune inconnu"
"01047","Commune inconnu"
"01049","Commune inconnu"
"01062","Commune inconnu"
"01064","Commune inconnu"
"01067","Commune inconnu"
"01068","Commune inconnu"
"01072","Commune inconnu"
"01074","Commune inconnu"
"01079","Commune inconnu"
"01081","Commune inconnu"
"01082","Commune inconnu"
"01088","Commune inconnu"
"01091","Commune inconnu"
"01099","Commune inconnu"
"01138","Commune inconnu"
"01142","Commune inconnu"
"01149","Commune inconnu"
"01151","Commune inconnu"
"01154","Commune inconnu"
"01171","Commune inconnu"
"01173","Commune inconnu"
"01181","Commune inconnu"
"01182","Commune inconnu"
"01192","Commune inconnu"
"01196","Commune inconnu"
"01200","Commune inconnu"
"01213","Commune inconnu"
"01224","Commune inconnu"
"01228","Commune inconnu"
"01244","Commune inconnu"
"01249","Commune inconnu"
"01262","Commune inconnu"
"01273","Commune inconnu"
"01275","Commune inconnu"
"01276","Commune inconnu"
"01289","Commune inconnu"
"01290","Commune inconnu"
"01304","Commune inconnu"
"01313","Commune inconnu"
"01314","Commune inconnu"
"01322","Commune inconnu"
"01333","Commune inconnu"
"01336","Commune inconnu"
"01361","Commune inconnu"
"01363","Commune inconnu"
"01366","Commune inconnu"
"01369","Commune inconnu"
"01374","Commune inconnu"
"01376","Commune inconnu"
"01378","Commune inconnu"
"01379","Commune inconnu"
"01384","Commune inconnu"
"01386","Commune inconnu"
"01396","Commune inconnu"
"01403","Commune inconnu"
"01416","Commune inconnu"
"01421","Commune inconnu"
"01431","Commune inconnu"
"01441","Commune inconnu"
"01447","Commune inconnu"
"01449","Commune inconnu"
"01452","Commune inconnu"
"06152","Commune inconnu"
"08392","Commune inconnu"
"10216","Commune inconnu"
"10412","Commune inconnu"
"18018","Commune inconnu"
"21171","Commune inconnu"
"21699","Commune inconnu"
"25473","Commune inconnu"
"26235","Commune inconnu"
"33063","Commune inconnu"
"33281","Commune inconnu"
"35238","Commune inconnu"
"38026","Commune inconnu"
"38034","Commune inconnu"
"38053","Commune inconnu"
"38085","Commune inconnu"
"38097","Commune inconnu"
"38138","Commune inconnu"
"38139","Commune inconnu"
"38193","Commune inconnu"
"38247","Commune inconnu"
"38282","Commune inconnu"
"38316","Commune inconnu"
"38397","Commune inconnu"
"38449","Commune inconnu"
"38475","Commune inconnu"
"38537","Commune inconnu"
"38553","Commune inconnu"
"39333","Commune inconnu"
"39368","Commune inconnu"
"42005","Commune inconnu"
"68224","Commune inconnu"
"69003","Commune inconnu"
"69034","Commune inconnu"
"69043","Commune inconnu"
"69072","Commune inconnu"
"69091","Commune inconnu"
"69116","Commune inconnu"
"69127","Commune inconnu"
"69136","Commune inconnu"
"69149","Commune inconnu"
"69153","Commune inconnu"
"69191","Commune inconnu"
"69256","Commune inconnu"
"69259","Commune inconnu"
"69266","Commune inconnu"
"69271","Commune inconnu"
"69273","Commune inconnu"
"69275","Commune inconnu"
"69276","Commune inconnu"
"69277","Commune inconnu"
"69284","Commune inconnu"
"69285","Commune inconnu"
"69286","Commune inconnu"
"69287","Commune inconnu"
"69288","Commune inconnu"
"69289","Commune inconnu"
"69290","Commune inconnu"
"69291","Commune inconnu"
"69296","Commune inconnu"
"69298","Commune inconnu"
"69299","Commune inconnu"
"69381","Commune inconnu"
"69384","Commune inconnu"
"69385","Commune inconnu"
"69386","Commune inconnu"
"69388","Commune inconnu"
"69389","Commune inconnu"
"71084","Commune inconnu"
"71263","Commune inconnu"
"73065","Commune inconnu"
"73151","Commune inconnu"
"73227","Commune inconnu"
"74243","Commune inconnu"
"74305","Commune inconnu"
"75101","Commune inconnu"
"75116","Commune inconnu"
"78440","Commune inconnu"
"78481","Commune inconnu"
"85191","Commune inconnu"
"92062","Commune inconnu"
"99999","Commune inconnu"
"01005","Commune inconnu"
"01075","Commune inconnu"
"01211","Commune inconnu"
"01238","Commune inconnu"
"01248","Commune inconnu"
"01250","Commune inconnu"
"01261","Commune inconnu"
"01263","Commune inconnu"
"01272","Commune inconnu"
"01285","Commune inconnu"
"01318","Commune inconnu"
"01347","Commune inconnu"
"01362","Commune inconnu"
"01371","Commune inconnu"
"01398","Commune inconnu"
"01457","Commune inconnu"
"11076","Commune inconnu"
"34154","Commune inconnu"
"69037","Commune inconnu"
"69063","Commune inconnu"
"69068","Commune inconnu"
"69081","Commune inconnu"
"69085","Commune inconnu"
"69100","Commune inconnu"
"69115","Commune inconnu"
"69121","Commune inconnu"
"69140","Commune inconnu"
"69163","Commune inconnu"
"69208","Commune inconnu"
"69278","Commune inconnu"
"77284","Commune inconnu"
"01039","Commune inconnu"
"01187","Commune inconnu"
"01310","Commune inconnu"
"73179","Commune inconnu"
"01092","Commune inconnu"
"01237","Commune inconnu"
"01240","Commune inconnu"
"01257","Commune inconnu"
"01269","Commune inconnu"
"01343","Commune inconnu"
"01373","Commune inconnu"
"01418","Commune inconnu"
"38451","Commune inconnu"
"38509","Commune inconnu"
"69260","Commune inconnu"
"69280","Commune inconnu"
"73008","Commune inconnu"
"73304","Commune inconnu"
"73329","Commune inconnu"
"74093","Commune inconnu"
"92040","Commune inconnu"
"01009","Commune inconnu"
"01453","Commune inconnu"
"42305","Commune inconnu"
"73051","Commune inconnu"
"73222","Commune inconnu"
"74269","Commune inconnu"
"01010","Commune inconnu"
"01098","Commune inconnu"
"01118","Commune inconnu"
"01160","Commune inconnu"
"01407","Commune inconnu"
"61074","Commune inconnu"
"73010","Commune inconnu"
"73085","Commune inconnu"
"73155","Commune inconnu"
"73286","Commune inconnu"
"74010","Commune inconnu"
"74011","Commune inconnu"
"74026","Commune inconnu"
"74074","Commune inconnu"
"74131","Commune inconnu"
"74133","Commune inconnu"
"74182","Commune inconnu"
"74217","Commune inconnu"
"74225","Commune inconnu"
"74260","Commune inconnu"
"74288","Commune inconnu"
"74289","Commune inconnu"
"77061","Commune inconnu"
"01011","Commune inconnu"
"01148","Commune inconnu"
"38080","Commune inconnu"
"39068","Commune inconnu"
"39283","Commune inconnu"
"39478","Commune inconnu"
"74164","Commune inconnu"
"01012","Commune inconnu"
"77306","Commune inconnu"
"01013","Commune inconnu"
"01017","Commune inconnu"
"38253","Commune inconnu"
