"stat3_id","stat3_nom","stat2_id","stat2_nom","stat1_id","stat1_nom"
"11","En contrat d'apprentissage","1","Salari?s en formation","1","Salari?s"
"12","Plac?s par une agence d'int?rim","2","Salari?s pr?caires","1","Salari?s"
"13","Emplois-jeunes, CES, contrats de qualification","2","Salari?s pr?caires","1","Salari?s"
"14","Stagiaires r?mun?r?s en entreprise","1","Salari?s en formation","1","Salari?s"
"15","Autres emplois ? dur?e limit?e, CDD, contrat court, vacataire...","2","Salari?s pr?caires","1","Salari?s"
"16","Emplois sans limite de dur?e, CDI, titulaire de la fonction publique","3","Salari?s non pr?caires","1","Salari?s"
"21","Non salari?s : Ind?pendants","4","Non salari?s","2","Non salari?s"
"22","Non salari?s : Employeurs","4","Non salari?s","2","Non salari?s"
"23","Non salari?s : Aides familiaux","4","Non salari?s","2","Non salari?s"
"-9","Statut  inconnu","-9","Statut inconnu","-9","Statut inconnu"
"ZZ","Sans objet","ZZ","Sans objet","Z","Sans objet"
